DATA;HORA;MUSICA
01/08/2024;00:00;HENRIQUE e JULIANO - SÓ LEMBRO DA BRIGA
01/08/2024;00:00;HUGO e GUILHERME - ELEVADOR
01/08/2024;00:00;LAUANA PRADO - ESQUECA QUE EU TE AMO
01/08/2024;00:00;ISRAEL & RODOLFFO  MARI FERNANDEZ - SEU BRILHO SUMIU
01/08/2024;00:00;ERIC LAND - NA VAQUEIJADA
01/08/2024;00:00;GUSTTAVO LIMA - NA HORA DE AMAR
01/08/2024;00:20;HENRY FREITAS - MALUCA
01/08/2024;00:20;MATHEUS E KAUAN feat MAIARA E MARAISA - NÃO SEI SE TO S
01/08/2024;00:20;MURILO HUFF - ANESTESIADO
01/08/2024;00:20;MARILIA MENDONCA - TODO MUNDO VAI SOFRER
01/08/2024;00:20;MANU BAHTIDÃO  SIMONE MENDES - DAQUI PRA SEMPRE
01/08/2024;00:20;JOÃO GOMES feat. MC RYAN SP - NÃO MANDA AUDIO
01/08/2024;00:20;GUSTAVO MIOTO  LEO SANTANA - ONDE TU VAI SENTAR
01/08/2024;00:40;MATHEUS E KAUAN - NÃO RECOMENDO
01/08/2024;00:40;ZÉ VAQUEIRO - UM DIA
01/08/2024;00:40;ZÉ NETO E CRISTIANO - INTERESSES DIFERENTES
01/08/2024;00:40;WESLEY SAFADÃO - SE VOCÊ DEIXAR
01/08/2024;00:40;ZÉ VAQUEIRO - MARAVILHOSA
01/08/2024;00:40;MARÍLIA MENDONÇA - LEÃO
01/08/2024;00:40;SIMONE MENDES - ERRO GOSTOSO
01/08/2024;01:00;LUAN SANTANA - SOLTEIROU
01/08/2024;01:00;ISRAEL E RODOLFFO - NÃO DEIXOU DE SE ESQUEMA
01/08/2024;01:00;GUSTTAVO LIMA feat ANA CASTELA - CANUNDINHO
01/08/2024;01:00;HENRIQUE E JULIANO - ONLINE
01/08/2024;01:00;LUAN SANTANA feat ANA CASTELA - DEJA VU
01/08/2024;01:00;MARI FERNANDEZ - A GENTE SE ENTREGA
01/08/2024;01:00;CAVALEIROS DO FORRÓ - UMA ESTRELA UM SOL
01/08/2024;01:20;ZÉ NETO E CRISTIANO feat ANA CASTELA - FOI INTENSO
01/08/2024;01:20;MARILIA MENDONCA - SERENATA
01/08/2024;01:20;MATHEUS & KAUAN  LUIZA SONZA - NÃO SIRVO
01/08/2024;01:20;MURILO HUFF feat. WESLEY SAFADÃO - QUEM TÁ PEGANDO
01/08/2024;01:20;CLAYTON E ROMÁRIO - MORENA
01/08/2024;01:20;A7S feat ALOK - MONSTER
01/08/2024;01:20;JORGE E MATEUS - TODO SEU
01/08/2024;01:40;MATHEUS & KAUAN - POSE
01/08/2024;01:40;NADSON O FERINHA - TIVE QUE BATER PALMA
01/08/2024;01:40;DILSINHO - CASALSINHO
01/08/2024;01:40;GUSTTAVO LIMA  HUGO e GUILHERME - TORCE O OLHO
01/08/2024;01:40;ISRAEL & RODOLFFO ft. ANA CASTELA - BOMBONZINHO
01/08/2024;01:40;MAIARA e MARAISA - NARCISISTA
01/08/2024;01:40;ZÉ NETO E CRISTIANO - ALIMENTANDO VONTADE
01/08/2024;02:00;GUSTTAVO LIMA - EX DOS MEUS SONHOS
01/08/2024;02:00;WESLEY SAFADÃO - VOU COMEÇAR A NÃO PRESTAR
01/08/2024;02:00;JOÃO BOSCO & VINICIUS  GUSTAVO MIOTO - DOCINHO DE FEST
01/08/2024;02:00;JORGE & MATEUS - O QUE É QUE EU FAÇO
01/08/2024;02:00;Christopher - Hope This Song Is For You
01/08/2024;02:00;GUSTAVO MIOTO e MC DON JUAN - QUANDO APAGA A LUZ
01/08/2024;02:00;FELIPE ARAÚJO feat LUAN SANTANA - ÚLTIMA NOITE
